year,group,origin,destination,pax
2016,London,GATWICK,ABERDEEN,143651
2016,London,GATWICK,BELFAST CITY (GEORGE BEST),39662
2016,London,GATWICK,BELFAST INTERNATIONAL,858757
2016,London,GATWICK,BIRMINGHAM,62
2016,London,GATWICK,BRISTOL,2
2016,London,GATWICK,CARDIFF WALES,112
2016,London,GATWICK,DONCASTER SHEFFIELD,246
2016,London,GATWICK,DURHAM TEES VALLEY,124
2016,London,GATWICK,EAST MIDLANDS INTERNATIONAL,104
2016,London,GATWICK,EDINBURGH,700064
2016,London,GATWICK,EXETER,2
2016,London,GATWICK,GLASGOW,608550
2016,London,GATWICK,GUERNSEY,311468
2016,London,GATWICK,HEATHROW,457
2016,London,GATWICK,HUMBERSIDE,334
2016,London,GATWICK,INVERNESS,237927
2016,London,GATWICK,ISLE OF MAN,155840
2016,London,GATWICK,JERSEY,658968
2016,London,GATWICK,LEEDS BRADFORD,213
2016,London,GATWICK,LIVERPOOL (JOHN LENNON),138
2016,London,GATWICK,LONDON CITY,17
2016,London,GATWICK,LUTON,2
2016,London,GATWICK,MANCHESTER,478
2016,London,GATWICK,NEWCASTLE,349
2016,London,GATWICK,NEWQUAY,150137
2016,London,GATWICK,NORWICH,38
2016,London,GATWICK,SOUTHEND,1
2016,London,GATWICK,STANSTED,2
2016,London,GATWICK,WARTON,33
2016,London,HEATHROW,ABERDEEN,592701
2016,London,HEATHROW,BELFAST CITY (GEORGE BEST),693937
2017,London,GATWICK,BELFAST CITY (GEORGE BEST),39662
2018,London,GATWICK,BELFAST CITY (GEORGE BEST),39662
